Area, 71.0, Accuracy, [0.375      0.5        0.5        0.46808511]
Area, 72.0, Accuracy, [0.625      0.5625     0.45833333 0.59574468]
Area, 73.0, Accuracy, [0.4375     0.5        0.45833333 0.53191489]
Area, 74.0, Accuracy, [0.45833333 0.5        0.5        0.46808511]
Area, 75.0, Accuracy, [0.375      0.33333333 0.5625     0.53191489]
Area, 76.0, Accuracy, [0.5        0.5        0.52083333 0.55319149]
Area, 77.0, Accuracy, [0.625      0.64583333 0.41666667 0.5106383 ]
Area, 78.0, Accuracy, [0.58333333 0.60416667 0.64583333 0.44680851]
Area, 79.0, Accuracy, [0.47916667 0.5625     0.5        0.55319149]
Area, 80.0, Accuracy, [0.52083333 0.54166667 0.64583333 0.46808511]
Area, 81.0, Accuracy, [0.5625     0.41666667 0.54166667 0.44680851]
Area, 82.0, Accuracy, [0.58333333 0.39583333 0.4375     0.5106383 ]
Area, 83.0, Accuracy, [0.5        0.64583333 0.5        0.4893617 ]
Area, 84.0, Accuracy, [0.54166667 0.52083333 0.58333333 0.55319149]
Area, 85.0, Accuracy, [0.41666667 0.58333333 0.52083333 0.68085106]
Area, 86.0, Accuracy, [0.52083333 0.45833333 0.47916667 0.57446809]
Area, 87.0, Accuracy, [0.52083333 0.4375     0.45833333 0.36170213]
Area, 88.0, Accuracy, [0.5625     0.5        0.5625     0.59574468]
Area, 89.0, Accuracy, [0.54166667 0.58333333 0.4375     0.53191489]
Area, 90.0, Accuracy, [0.58333333 0.64583333 0.45833333 0.46808511]
Area, 91.0, Accuracy, [0.39583333 0.54166667 0.4375     0.5106383 ]
Area, 92.0, Accuracy, [0.4375     0.58333333 0.54166667 0.55319149]
Area, 93.0, Accuracy, [0.54166667 0.625      0.5        0.53191489]
Area, 94.0, Accuracy, [0.54166667 0.60416667 0.4375     0.5106383 ]
Area, 95.0, Accuracy, [0.5625     0.66666667 0.54166667 0.53191489]
Area, 96.0, Accuracy, [0.4375     0.47916667 0.58333333 0.44680851]
Area, 97.0, Accuracy, [0.35416667 0.5625     0.4375     0.53191489]
Area, 98.0, Accuracy, [0.5        0.45833333 0.47916667 0.4893617 ]
Area, 99.0, Accuracy, [0.47916667 0.4375     0.54166667 0.5106383 ]
Area, 100.0, Accuracy, [0.58333333 0.41666667 0.47916667 0.53191489]
Area, 101.0, Accuracy, [0.4375     0.58333333 0.5        0.59574468]
Area, 102.0, Accuracy, [0.58333333 0.54166667 0.47916667 0.40425532]
Area, 103.0, Accuracy, [0.60416667 0.5625     0.66666667 0.57446809]
Area, 104.0, Accuracy, [0.47916667 0.5625     0.47916667 0.46808511]
Area, 105.0, Accuracy, [0.45833333 0.5        0.5        0.65957447]
Area, 106.0, Accuracy, [0.5625     0.58333333 0.47916667 0.44680851]
Area, 107.0, Accuracy, [0.54166667 0.52083333 0.47916667 0.44680851]
Area, 108.0, Accuracy, [0.5625     0.58333333 0.47916667 0.42553191]
Area, 109.0, Accuracy, [0.47916667 0.4375     0.54166667 0.53191489]
Area, 110.0, Accuracy, [0.54166667 0.60416667 0.5        0.40425532]
Area, 111.0, Accuracy, [0.5625     0.375      0.47916667 0.38297872]
Area, 112.0, Accuracy, [0.47916667 0.52083333 0.58333333 0.46808511]
Area, 113.0, Accuracy, [0.47916667 0.54166667 0.52083333 0.4893617 ]
Area, 114.0, Accuracy, [0.5        0.47916667 0.45833333 0.65957447]
Area, 115.0, Accuracy, [0.5        0.47916667 0.375      0.40425532]
Area, 116.0, Accuracy, [0.52083333 0.4375     0.45833333 0.5106383 ]
Area, 117.0, Accuracy, [0.5625     0.52083333 0.375      0.5106383 ]
Area, 118.0, Accuracy, [0.375      0.45833333 0.5625     0.44680851]
Area, 119.0, Accuracy, [0.52083333 0.52083333 0.47916667 0.44680851]
Area, 120.0, Accuracy, [0.5625     0.52083333 0.52083333 0.5106383 ]
Area, 121.0, Accuracy, [0.625      0.58333333 0.54166667 0.5106383 ]
Area, 122.0, Accuracy, [0.47916667 0.4375     0.52083333 0.4893617 ]
Area, 123.0, Accuracy, [0.5        0.5        0.52083333 0.36170213]
Area, 124.0, Accuracy, [0.47916667 0.47916667 0.5625     0.42553191]
Area, 125.0, Accuracy, [0.52083333 0.52083333 0.66666667 0.44680851]
Area, 126.0, Accuracy, [0.54166667 0.58333333 0.54166667 0.5106383 ]
Area, 127.0, Accuracy, [0.54166667 0.54166667 0.60416667 0.4893617 ]
Area, 128.0, Accuracy, [0.5        0.52083333 0.47916667 0.4893617 ]
Area, 129.0, Accuracy, [0.41666667 0.58333333 0.58333333 0.34042553]
Area, 130.0, Accuracy, [0.47916667 0.5        0.54166667 0.42553191]
Area, 131.0, Accuracy, [0.47916667 0.52083333 0.45833333 0.53191489]
Area, 132.0, Accuracy, [0.5        0.60416667 0.5        0.4893617 ]
Area, 133.0, Accuracy, [0.47916667 0.6875     0.54166667 0.57446809]
Area, 134.0, Accuracy, [0.47916667 0.60416667 0.5        0.59574468]
Area, 135.0, Accuracy, [0.47916667 0.52083333 0.52083333 0.63829787]
Area, 136.0, Accuracy, [0.39583333 0.52083333 0.5        0.57446809]
Area, 137.0, Accuracy, [0.47916667 0.625      0.5        0.4893617 ]
Area, 138.0, Accuracy, [0.41666667 0.60416667 0.4375     0.4893617 ]
Area, 139.0, Accuracy, [0.54166667 0.5        0.58333333 0.57446809]
Area, 140.0, Accuracy, [0.52083333 0.58333333 0.60416667 0.5106383 ]
Area, 141.0, Accuracy, [0.4375     0.70833333 0.5625     0.57446809]
Area, 142.0, Accuracy, [0.45833333 0.5        0.4375     0.53191489]
Area, 143.0, Accuracy, [0.5625     0.5625     0.52083333 0.4893617 ]
Area, 144.0, Accuracy, [0.375      0.58333333 0.5625     0.42553191]
Area, 145.0, Accuracy, [0.4375     0.45833333 0.45833333 0.42553191]
Area, 146.0, Accuracy, [0.41666667 0.4375     0.47916667 0.38297872]
Area, 147.0, Accuracy, [0.625      0.60416667 0.52083333 0.42553191]
